County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
30 - Orange,9/30/2013,In Closure,$320392420.16,189,Greater Los Angeles Counties
31 - Placer,9/30/2013,In Review,$8772190.00,7,Greater Sacramento Counties
31 - Placer,9/30/2013,Pending Construction,$817754.00,5,Greater Sacramento Counties
31 - Placer,9/30/2013,In Construction,$56647157.80,18,Greater Sacramento Counties
31 - Placer,9/30/2013,In Closure,$76359994.61,16,Greater Sacramento Counties
32 - Plumas,9/30/2013,In Review,$45441.00,2,
32 - Plumas,9/30/2013,Pending Construction,$83000.00,2,
32 - Plumas,9/30/2013,In Construction,$85900.00,2,
32 - Plumas,9/30/2013,In Closure,$0.00,0,
33 - Riverside,9/30/2013,In Review,$293865736.72,73,
33 - Riverside,9/30/2013,Pending Construction,$135245041.00,70,
33 - Riverside,9/30/2013,In Construction,$156869202.63,134,
33 - Riverside,9/30/2013,In Closure,$184581087.27,107,
34 - Sacramento,9/30/2013,In Review,$47476953.00,45,Greater Sacramento Counties
34 - Sacramento,9/30/2013,Pending Construction,$91730546.00,36,Greater Sacramento Counties
34 - Sacramento,9/30/2013,In Construction,$266665043.01,119,Greater Sacramento Counties
34 - Sacramento,9/30/2013,In Closure,$114055042.45,56,Greater Sacramento Counties
35 - San Benito,9/30/2013,In Review,$0.00,0,
35 - San Benito,9/30/2013,Pending Construction,$0.00,0,
35 - San Benito,9/30/2013,In Construction,$14215455.00,4,
35 - San Benito,9/30/2013,In Closure,$12923440.00,3,
36 - San Bernardino,9/30/2013,In Review,$681775364.53,44,
36 - San Bernardino,9/30/2013,Pending Construction,$17316724.78,60,
36 - San Bernardino,9/30/2013,In Construction,$197887258.25,101,
36 - San Bernardino,9/30/2013,In Closure,$188104978.29,91,
37 - San Diego,9/30/2013,In Review,$517501936.79,122,
37 - San Diego,9/30/2013,Pending Construction,$111627490.34,103,
37 - San Diego,9/30/2013,In Construction,$634080779.91,219,
37 - San Diego,9/30/2013,In Closure,$545020716.97,225,
38 - San Francisco,9/30/2013,In Review,$945991053.98,64,Bay Area Counties
38 - San Francisco,9/30/2013,Pending Construction,$461799530.38,67,Bay Area Counties
38 - San Francisco,9/30/2013,In Construction,$1043690219.62,139,Bay Area Counties
38 - San Francisco,9/30/2013,In Closure,$291548199.61,102,Bay Area Counties
39 - San Joaquin,9/30/2013,In Review,$6625983.80,29,
39 - San Joaquin,9/30/2013,Pending Construction,$89699666.80,27,
39 - San Joaquin,9/30/2013,In Construction,$25464018.38,46,
39 - San Joaquin,9/30/2013,In Closure,$17437938.84,15,
40 - San Luis Obispo,9/30/2013,In Review,$2891415.00,11,
40 - San Luis Obispo,9/30/2013,Pending Construction,$1531721.80,13,
40 - San Luis Obispo,9/30/2013,In Construction,$4947870.10,15,
40 - San Luis Obispo,9/30/2013,In Closure,$9278808.00,30,
41 - San Mateo,9/30/2013,In Review,$77204622.16,30,Bay Area Counties
41 - San Mateo,9/30/2013,Pending Construction,$35796138.96,30,Bay Area Counties
41 - San Mateo,9/30/2013,In Construction,$330259579.94,72,Bay Area Counties
41 - San Mateo,9/30/2013,In Closure,$58061263.01,38,Bay Area Counties
42 - Santa Barbara,9/30/2013,In Review,$10741200.00,15,
42 - Santa Barbara,9/30/2013,Pending Construction,$148130944.80,22,
42 - Santa Barbara,9/30/2013,In Construction,$228084917.43,34,
42 - Santa Barbara,9/30/2013,In Closure,$95546890.41,23,
43 - Santa Clara,9/30/2013,In Review,$762828738.97,81,Bay Area Counties
43 - Santa Clara,9/30/2013,Pending Construction,$179073014.20,71,Bay Area Counties
43 - Santa Clara,9/30/2013,In Construction,$770953886.43,168,Bay Area Counties
43 - Santa Clara,9/30/2013,In Closure,$88554637.09,140,Bay Area Counties
44 - Santa Cruz,9/30/2013,In Review,$10510974.00,8,
44 - Santa Cruz,9/30/2013,Pending Construction,$495319.00,7,
44 - Santa Cruz,9/30/2013,In Construction,$3676689.99,22,
44 - Santa Cruz,9/30/2013,In Closure,$10065661.00,12,
45 - Shasta,9/30/2013,In Review,$24745486.00,20,
45 - Shasta,9/30/2013,Pending Construction,$1473187.00,13,
45 - Shasta,9/30/2013,In Construction,$5229507.81,19,
45 - Shasta,9/30/2013,In Closure,$9154279.00,3,
46 - Sierra,9/30/2013,In Review,$0.00,0,
46 - Sierra,9/30/2013,Pending Construction,$0.00,0,
46 - Sierra,9/30/2013,In Construction,$0.00,0,
46 - Sierra,9/30/2013,In Closure,$0.00,0,
47 - Siskiyou,9/30/2013,In Review,$10000.00,1,
58 - Yuba,9/30/2013,In Closure,$446592.00,4,
47 - Siskiyou,9/30/2013,Pending Construction,$726700.00,3,
47 - Siskiyou,9/30/2013,In Construction,$1250562.07,9,
47 - Siskiyou,9/30/2013,In Closure,$0.00,0,
48 - Solano,9/30/2013,In Review,$3820069.00,13,Bay Area Counties
48 - Solano,9/30/2013,Pending Construction,$20238515.00,11,Bay Area Counties
48 - Solano,9/30/2013,In Construction,$30042209.13,29,Bay Area Counties
48 - Solano,9/30/2013,In Closure,$32478461.00,21,Bay Area Counties
49 - Sonoma,9/30/2013,In Review,$31381318.60,14,Bay Area Counties
49 - Sonoma,9/30/2013,Pending Construction,$6366395.00,23,Bay Area Counties
49 - Sonoma,9/30/2013,In Construction,$132698275.30,46,Bay Area Counties
49 - Sonoma,9/30/2013,In Closure,$33007256.61,19,Bay Area Counties
50 - Stanislaus,9/30/2013,In Review,$24690158.00,19,
50 - Stanislaus,9/30/2013,Pending Construction,$2925000.00,19,
50 - Stanislaus,9/30/2013,In Construction,$65800900.66,40,
50 - Stanislaus,9/30/2013,In Closure,$27123046.08,46,
51 - Sutter,9/30/2013,In Review,$12684000.00,3,
51 - Sutter,9/30/2013,Pending Construction,$52033.00,3,
51 - Sutter,9/30/2013,In Construction,$30500.00,2,
51 - Sutter,9/30/2013,In Closure,$69410.00,2,
52 - Tehama,9/30/2013,In Review,$359700.00,2,
52 - Tehama,9/30/2013,Pending Construction,$414500.00,6,
52 - Tehama,9/30/2013,In Construction,$1809800.00,4,
52 - Tehama,9/30/2013,In Closure,$0.00,0,
53 - Trinity,9/30/2013,In Review,$8200.00,2,
53 - Trinity,9/30/2013,Pending Construction,$13200.00,2,
53 - Trinity,9/30/2013,In Construction,$313838.00,1,
53 - Trinity,9/30/2013,In Closure,$0.00,0,
54 - Tulare,9/30/2013,In Review,$30277068.00,15,
54 - Tulare,9/30/2013,Pending Construction,$1607698.29,5,
54 - Tulare,9/30/2013,In Construction,$83885911.00,11,
54 - Tulare,9/30/2013,In Closure,$6799608.98,30,
55 - Tuolumne,9/30/2013,In Review,$8000.00,1,
55 - Tuolumne,9/30/2013,Pending Construction,$1007100.00,6,
55 - Tuolumne,9/30/2013,In Construction,$634000.00,4,
55 - Tuolumne,9/30/2013,In Closure,$1161527.84,14,
56 - Ventura,9/30/2013,In Review,$235193920.66,37,Greater Los Angeles Counties
56 - Ventura,9/30/2013,Pending Construction,$32239356.33,36,Greater Los Angeles Counties
56 - Ventura,9/30/2013,In Construction,$375405999.00,65,Greater Los Angeles Counties
56 - Ventura,9/30/2013,In Closure,$30228225.00,51,Greater Los Angeles Counties
57 - Yolo,9/30/2013,In Review,$683540.00,5,Greater Sacramento Counties
57 - Yolo,9/30/2013,Pending Construction,$584000.00,3,Greater Sacramento Counties
57 - Yolo,9/30/2013,In Construction,$1483044.00,7,Greater Sacramento Counties
57 - Yolo,9/30/2013,In Closure,$63505.00,3,Greater Sacramento Counties
58 - Yuba,9/30/2013,In Review,$31461706.50,1,
58 - Yuba,9/30/2013,Pending Construction,$32194189.50,3,
58 - Yuba,9/30/2013,In Construction,$68363126.00,5,
01 - Alameda,10/8/2013,In Review,$50890315.00,44,Bay Area Counties
01 - Alameda,10/8/2013,Pending Construction,$840242543.36,125,Bay Area Counties
01 - Alameda,10/8/2013,In Construction,$994245713.95,181,Bay Area Counties
01 - Alameda,10/8/2013,In Closure,$65337613.88,82,Bay Area Counties
02 - Alpine,10/8/2013,In Review,$0.00,0,
02 - Alpine,10/8/2013,Pending Construction,$0.00,0,
02 - Alpine,10/8/2013,In Construction,$0.00,0,
02 - Alpine,10/8/2013,In Closure,$0.00,0,
03 - Amador,10/8/2013,In Review,$1610809.00,2,
03 - Amador,10/8/2013,Pending Construction,$0.00,0,
03 - Amador,10/8/2013,In Construction,$1793567.00,9,
03 - Amador,10/8/2013,In Closure,$0.00,0,
04 - Butte,10/8/2013,In Review,$6231107.00,11,
04 - Butte,10/8/2013,Pending Construction,$2137000.00,6,
04 - Butte,10/8/2013,In Construction,$91178383.00,16,
04 - Butte,10/8/2013,In Closure,$717911.00,5,
05 - Calaveras,10/8/2013,In Review,$0.00,0,
05 - Calaveras,10/8/2013,Pending Construction,$42500.00,1,
05 - Calaveras,10/8/2013,In Construction,$0.00,0,
05 - Calaveras,10/8/2013,In Closure,$177991.00,2,
06 - Colusa,10/8/2013,In Review,$16951.00,2,
06 - Colusa,10/8/2013,Pending Construction,$25000.00,1,
06 - Colusa,10/8/2013,In Construction,$0.00,0,
06 - Colusa,10/8/2013,In Closure,$0.00,0,
07 - Contra Costa,10/8/2013,In Review,$19079779.00,29,Bay Area Counties
07 - Contra Costa,10/8/2013,Pending Construction,$19570172.00,43,Bay Area Counties
07 - Contra Costa,10/8/2013,In Construction,$40655626.98,56,Bay Area Counties
07 - Contra Costa,10/8/2013,In Closure,$0.00,18,Bay Area Counties
08 - Del Norte,10/8/2013,In Review,$0.00,0,
08 - Del Norte,10/8/2013,Pending Construction,$0.00,0,
08 - Del Norte,10/8/2013,In Construction,$6763431.00,5,
08 - Del Norte,10/8/2013,In Closure,$262211.00,1,
09 - El Dorado,10/8/2013,In Review,$11759315.00,6,Greater Sacramento Counties
09 - El Dorado,10/8/2013,Pending Construction,$38333.00,2,Greater Sacramento Counties
09 - El Dorado,10/8/2013,In Construction,$12111964.00,5,Greater Sacramento Counties
09 - El Dorado,10/8/2013,In Closure,$23367713.00,4,Greater Sacramento Counties
10 - Fresno,10/8/2013,In Review,$38459929.71,38,
10 - Fresno,10/8/2013,Pending Construction,$9531967.00,33,
10 - Fresno,10/8/2013,In Construction,$242098251.92,81,
10 - Fresno,10/8/2013,In Closure,$16751272.37,93,
11 - Glenn,10/8/2013,In Review,$0.00,0,
11 - Glenn,10/8/2013,Pending Construction,$0.00,0,
11 - Glenn,10/8/2013,In Construction,$224685.00,1,
11 - Glenn,10/8/2013,In Closure,$10000.00,1,
12 - Humboldt,10/8/2013,In Review,$5415000.00,8,
12 - Humboldt,10/8/2013,Pending Construction,$1456000.00,6,
12 - Humboldt,10/8/2013,In Construction,$88258714.00,16,
12 - Humboldt,10/8/2013,In Closure,$727801.00,5,
13 - Imperial,10/8/2013,In Review,$6035000.00,2,
13 - Imperial,10/8/2013,Pending Construction,$1305063.00,4,
13 - Imperial,10/8/2013,In Construction,$348000.00,3,
13 - Imperial,10/8/2013,In Closure,$558903.00,3,
14 - Inyo,10/8/2013,In Review,$250.00,1,
14 - Inyo,10/8/2013,Pending Construction,$39653.00,1,
14 - Inyo,10/8/2013,In Construction,$12300.00,3,
14 - Inyo,10/8/2013,In Closure,$41277251.54,3,
15 - Kern,10/8/2013,In Review,$7493774.00,23,
15 - Kern,10/8/2013,Pending Construction,$1090399.00,11,
15 - Kern,10/8/2013,In Construction,$67605422.00,35,
15 - Kern,10/8/2013,In Closure,$18268694.66,41,
16 - Kings,10/8/2013,In Review,$395000.00,6,
16 - Kings,10/8/2013,Pending Construction,$28480000.00,7,
16 - Kings,10/8/2013,In Construction,$238722.00,5,
16 - Kings,10/8/2013,In Closure,$735634.13,13,
17 - Lake,10/8/2013,In Review,$243000.00,2,
17 - Lake,10/8/2013,Pending Construction,$69500.00,2,
17 - Lake,10/8/2013,In Construction,$5716410.23,16,
17 - Lake,10/8/2013,In Closure,$22628.04,1,
18 - Lassen,10/8/2013,In Review,$326000.00,1,
18 - Lassen,10/8/2013,Pending Construction,$145120.00,1,
18 - Lassen,10/8/2013,In Construction,$1164643.00,9,
18 - Lassen,10/8/2013,In Closure,$0.00,0,
19 - Los Angeles,10/8/2013,In Review,$545783590.05,434,Greater Los Angeles Counties
19 - Los Angeles,10/8/2013,Pending Construction,$239724225.82,568,Greater Los Angeles Counties
19 - Los Angeles,10/8/2013,In Construction,$2339840925.53,843,Greater Los Angeles Counties
19 - Los Angeles,10/8/2013,In Closure,$573078827.34,655,Greater Los Angeles Counties
20 - Madera,10/8/2013,In Review,$695954.00,1,
20 - Madera,10/8/2013,Pending Construction,$864400.00,2,
20 - Madera,10/8/2013,In Construction,$4080108.00,20,
20 - Madera,10/8/2013,In Closure,$16551457.52,25,
21 - Marin,10/8/2013,In Review,$178957915.00,17,Bay Area Counties
21 - Marin,10/8/2013,Pending Construction,$44515860.00,9,Bay Area Counties
21 - Marin,10/8/2013,In Construction,$25456399.00,21,Bay Area Counties
21 - Marin,10/8/2013,In Closure,$5510444.00,12,Bay Area Counties
22 - Mariposa,10/8/2013,In Review,$0.00,0,
22 - Mariposa,10/8/2013,Pending Construction,$0.00,0,
22 - Mariposa,10/8/2013,In Construction,$0.00,0,
22 - Mariposa,10/8/2013,In Closure,$0.00,0,
23 - Mendocino,10/8/2013,In Review,$3466175.00,7,
23 - Mendocino,10/8/2013,Pending Construction,$16013000.00,5,
23 - Mendocino,10/8/2013,In Construction,$2246074.00,13,
23 - Mendocino,10/8/2013,In Closure,$37711600.00,7,
24 - Merced,10/8/2013,In Review,$192185.20,5,
24 - Merced,10/8/2013,Pending Construction,$237500.00,3,
24 - Merced,10/8/2013,In Construction,$12965854.00,4,
24 - Merced,10/8/2013,In Closure,$343375.00,5,
25 - Modoc,10/8/2013,In Review,$0.00,0,
25 - Modoc,10/8/2013,Pending Construction,$12500.00,1,
